"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1385","43.5364","3.0250","12759.6983","12668.6629","116.2766","2.0771","99.6950","13520.2390"
"1386","43.5534","3.0261","12764.3155","12667.7336","116.0511","2.0763","99.6950","13467.8639"
"1387","43.5704","3.0272","12768.7452","12666.8044","116.6892","2.0756","99.6950","13616.3794"
"1388","43.5874","3.0283","12772.8607","12665.8752","116.8417","2.0748","99.6950","13651.9938"
"1389","43.6044","3.0295","12776.5276","12664.9460","117.1271","2.0740","99.6950","13718.7499"
"1390","43.6214","3.0306","12779.6120","12664.0167","118.1975","2.0733","99.6950","13970.6535"
"1391","43.6384","3.0317","12781.9703","12663.0875","117.0561","2.0725","99.6950","13702.1287"
"1392","43.6554","3.0328","12783.5369","12662.1583","117.3460","2.0717","99.6950","13770.0759"
"1393","43.6724","3.0340","12784.2160","12661.2291","117.0775","2.0710","99.6950","13707.1385"
"1394","43.6894","3.0351","12783.9641","12660.2998","116.4421","2.0702","99.6950","13558.7647"
"1395","43.7064","3.0362","12782.7719","12659.3706","115.3604","2.0694","99.6950","13308.0263"
"1396","43.7234","3.0373","12780.6607","12658.4414","116.0658","2.0687","99.6950","13471.2742"
"1397","43.7404","3.0385","12777.1277","12656.9718","116.4679","2.0679","99.6950","13564.7720"
"1398","43.7574","3.0396","12772.8010","12655.5021","116.1039","2.0671","99.6950","13480.1156"
"1399","43.7744","3.0407","12767.7551","12654.0325","116.5783","2.0664","99.6950","13590.5094"
"1400","43.7914","3.0418","12762.0869","12652.5629","115.9702","2.0656","99.6950","13449.0955"
"1401","43.8084","3.0429","12755.9025","12651.0932","114.8000","2.0648","99.6950","13179.0385"
"1402","43.8254","3.0441","12749.3134","12649.6236","114.4619","2.0641","99.6950","13101.5379"
"1403","43.8424","3.0452","12742.4326","12648.1540","114.7629","2.0633","99.6950","13170.5338"
"1404","43.8594","3.0463","12735.3698","12646.6843","114.3595","2.0626","99.6950","13078.1013"
"1405","43.8764","3.0474","12728.2276","12645.2147","114.5529","2.0618","99.6950","13122.3736"
"1406","43.8934","3.0486","12721.0979","12643.7451","114.4803","2.0610","99.6950","13105.7383"
"1407","43.9104","3.0497","12714.0602","12642.2754","113.8797","2.0603","99.6950","12968.5847"
"1408","43.9274","3.0508","12707.1805","12640.8058","113.8356","2.0595","99.6950","12958.5442"
"1409","43.9444","3.0519","12700.5117","12639.3362","113.6802","2.0588","99.6950","12923.1932"
"1410","43.9614","3.0530","12694.0944","12637.8665","113.3123","2.0580","99.6950","12839.6723"
"1411","43.9784","3.0542","12687.9576","12636.3969","112.8923","2.0572","99.6950","12744.6629"
"1412","43.9954","3.0553","12682.1208","12634.9273","113.1933","2.0565","99.6950","12812.7236"
"1413","44.0124","3.0564","12676.5947","12633.4576","113.2285","2.0557","99.6950","12820.6956"
"1414","44.0294","3.0575","12671.3828","12631.9880","113.1114","2.0550","99.6950","12794.1844"
"1415","44.0464","3.0587","12666.4823","12630.5184","113.0332","2.0542","99.6950","12776.5134"
"1416","44.0634","3.0598","12661.8858","12629.0487","112.8143","2.0535","99.6950","12727.0611"
"1417","44.0804","3.0609","12657.5815","12627.5791","112.5302","2.0527","99.6950","12663.0467"
"1418","44.0974","3.0620","12653.5548","12626.1095","112.7223","2.0520","99.6950","12706.3165"
"1419","44.1144","3.0631","12649.7888","12624.6398","113.2895","2.0512","99.6950","12834.5063"
"1420","44.1314","3.0643","12646.2650","12623.1702","113.4117","2.0505","99.6950","12862.2203"
"1421","44.1484","3.0654","12642.9640","12621.7006","113.0487","2.0497","99.6950","12780.0045"
"1422","44.1654","3.0665","12639.8662","12620.2309","112.1082","2.0490","99.6950","12568.2508"
"1423","44.1824","3.0676","12636.9522","12618.7613","112.3492","2.0482","99.6950","12622.3328"
"1424","44.1994","3.0687","12634.2032","12617.2917","112.7356","2.0475","99.6950","12709.3158"
"1425","44.2164","3.0699","12631.6010","12615.8220","112.4881","2.0467","99.6950","12653.5765"
"1426","44.2334","3.0710","12629.1288","12614.3524","112.6733","2.0460","99.6950","12695.2675"
"1427","44.2504","3.0721","12626.2305","12612.3423","113.7479","2.0452","99.6950","12938.5738"
"1428","44.2674","3.0732","12623.4322","12610.3323","113.0709","2.0445","99.6950","12785.0358"
"1429","44.2844","3.0744","12620.7210","12608.3223","112.3169","2.0437","99.6950","12615.0848"
"1430","44.3014","3.0755","12618.0853","12606.3122","112.6896","2.0430","99.6950","12698.9409"
"1431","44.3184","3.0766","12615.5150","12604.3022","112.7000","2.0423","99.6950","12701.2869"
"1432","44.3354","3.0777","12613.0011","12602.2921","112.5107","2.0415","99.6950","12658.6502"
"1433","44.3524","3.0788","12610.5358","12600.2821","112.6753","2.0408","99.6950","12695.7181"
"1434","44.3694","3.0800","12608.1125","12598.2721","112.9593","2.0400","99.6950","12759.8066"
"1435","44.3864","3.0811","12605.7253","12596.2620","112.9785","2.0393","99.6950","12764.1344"
"1436","44.4034","3.0822","12603.3694","12594.2520","112.6305","2.0385","99.6950","12685.6279"
"1437","44.4204","3.0833","12601.0407","12592.2419","112.4857","2.0378","99.6950","12653.0293"
"1438","44.4374","3.0844","12598.7357","12590.2319","112.8323","2.0371","99.6950","12731.1387"
"1439","44.4544","3.0856","12596.4513","12588.2218","113.0417","2.0363","99.6950","12778.4280"
"1440","44.4714","3.0867","12594.1852","12586.2118","112.1818","2.0356","99.6950","12584.7623"
"1441","44.4884","3.0878","12591.9352","12584.2018","112.0127","2.0348","99.6950","12546.8416"
"1442","44.5054","3.0889","12589.1408","12581.6329","113.7572","2.0341","99.6950","12940.7046"
"1443","44.5224","3.0900","12586.3593","12579.0640","112.3725","2.0334","99.6950","12627.5812"
"1444","44.5394","3.0912","12583.5895","12576.4952","112.6166","2.0326","99.6950","12682.5031"
"1445","44.5564","3.0923","12580.8302","12573.9263","112.2404","2.0319","99.6950","12597.9067"
"1446","44.5734","3.0934","12578.0806","12571.3575","112.6139","2.0312","99.6950","12681.8873"
"1447","44.5904","3.0945","12575.3398","12568.7886","112.9024","2.0304","99.6950","12746.9570"
"1448","44.6074","3.0956","12572.6072","12566.2197","111.6295","2.0297","99.6950","12461.1480"
"1449","44.6244","3.0968","12569.8822","12563.6509","112.5532","2.0290","99.6950","12668.2319"
"1450","44.6414","3.0979","12567.1642","12561.0820","113.0788","2.0282","99.6950","12786.8251"
"1451","44.6584","3.0990","12564.4527","12558.5131","112.6992","2.0275","99.6950","12701.1036"
"1452","44.6754","3.1001","12561.7474","12555.9443","112.7964","2.0268","99.6950","12723.0251"
"1453","44.6924","3.1012","12559.0477","12553.3754","112.8978","2.0260","99.6950","12745.9058"
"1454","44.7094","3.1024","12556.3535","12550.8066","112.7247","2.0253","99.6950","12706.8623"
"1455","44.7264","3.1035","12553.6643","12548.2377","112.8021","2.0246","99.6950","12724.3052"
"1456","44.7434","3.1046","12550.9919","12545.6688","112.3061","2.0238","99.6950","12612.6673"
"1457","44.7604","3.1057","12547.7621","12542.5501","112.2708","2.0231","99.6950","12604.7222"
"1458","44.7774","3.1068","12544.5365","12539.4313","112.0534","2.0224","99.6950","12555.9674"
"1459","44.7944","3.1079","12541.3150","12536.3125","113.0735","2.0217","99.6950","12785.6059"
"1460","44.8114","3.1091","12538.0972","12533.1937","112.8763","2.0209","99.6950","12741.0537"
"1461","44.8284","3.1102","12534.8829","12530.0749","112.3970","2.0202","99.6950","12633.0915"
"1462","44.8454","3.1113","12531.6721","12526.9561","111.3656","2.0195","99.6950","12402.2904"
"1463","44.8624","3.1124","12528.4645","12523.8373","112.0655","2.0187","99.6950","12558.6833"
"1464","44.8794","3.1135","12525.2661","12520.7185","112.9362","2.0180","99.6950","12754.5940"
"1465","44.8964","3.1147","12522.0645","12517.5997","112.6535","2.0173","99.6950","12690.8162"
"1466","44.9134","3.1158","12518.8657","12514.4809","112.8303","2.0166","99.6950","12730.6812"
"1467","44.9304","3.1169","12515.6695","12511.3621","112.2422","2.0158","99.6950","12598.3067"
"1468","44.9474","3.1180","12512.4758","12508.2433","112.1215","2.0151","99.6950","12571.2405"
"1469","44.9644","3.1191","12509.2845","12505.1246","111.8850","2.0144","99.6950","12518.2487"
"1470","44.9814","3.1203","12506.0955","12502.0058","112.6628","2.0137","99.6950","12692.9067"
"1471","44.9984","3.1214","12502.9086","12498.8870","112.8325","2.0130","99.6950","12731.1710"
"1472","45.0154","3.1225","12499.2423","12495.2866","113.1915","2.0122","99.6950","12812.3077"
"1473","45.0324","3.1236","12495.5779","12491.6862","112.7990","2.0115","99.6950","12723.6223"
"1474","45.0494","3.1247","12491.9154","12488.0859","112.0435","2.0108","99.6950","12553.7551"
"1475","45.0664","3.1258","12488.2547","12484.4855","112.1934","2.0101","99.6950","12587.3614"
"1476","45.0834","3.1270","12484.5958","12480.8851","112.6161","2.0094","99.6950","12682.3915"
"1477","45.1004","3.1281","12480.9385","12477.2847","112.0224","2.0086","99.6950","12549.0160"
"1478","45.1174","3.1292","12477.2829","12473.6844","111.8484","2.0079","99.6950","12510.0624"
"1479","45.1344","3.1303","12473.6287","12470.0840","112.1135","2.0072","99.6950","12569.4293"
"1480","45.1514","3.1314","12469.9761","12466.4836","111.9041","2.0065","99.6950","12522.5166"
"1481","45.1684","3.1325","12466.3248","12462.8833","112.8441","2.0058","99.6950","12733.7824"
"1482","45.1854","3.1337","12462.6749","12459.2829","113.2579","2.0051","99.6950","12827.3628"
"1483","45.2024","3.1348","12459.0263","12455.6825","111.7084","2.0043","99.6950","12478.7569"
"1484","45.2194","3.1359","12455.3789","12452.0821","111.5719","2.0036","99.6950","12448.2835"
"1485","45.2364","3.1370","12451.7328","12448.4818","111.3585","2.0029","99.6950","12400.7214"
"1486","45.2534","3.1381","12448.0878","12444.8814","111.5168","2.0022","99.6950","12435.9943"
"1487","45.2704","3.1392","12448.6401","12445.4773","111.7387","2.0015","99.6950","12485.5327"
"1488","45.2874","3.1404","12449.1935","12446.0731","112.1713","2.0008","99.6950","12582.3903"
"1489","45.3044","3.1415","12449.7480","12446.6690","112.4469","2.0001","99.6950","12644.3094"
"1490","45.3214","3.1426","12450.3034","12447.2648","112.3216","1.9994","99.6950","12616.1337"
"1491","45.3384","3.1437","12450.8599","12447.8607","111.6986","1.9986","99.6950","12476.5779"
"1492","45.3554","3.1448","12451.4172","12448.4565","112.4615","1.9979","99.6950","12647.5843"
"1493","45.3724","3.1459","12451.9644","12449.0524","111.9609","1.9972","99.6950","12535.2324"
